"csu_id","year","week","target_name","test_code","cq","copies","amp_status"
"RMRP00708",2025,26,"WNV",0,34.22,10.92,NA
"RMRP00709",2025,26,"SLEV",0,55.55,0,NA
"RMRP00709",2025,26,"WNV",0,55.55,0,NA
"RMRP00710",2025,26,"SLEV",0,55.55,0,NA
"RMRP00710",2025,26,"WNV",0,32.9,29.47,NA
"RMRP00711",2025,26,"SLEV",0,55.55,0,NA
"RMRP00711",2025,26,"WNV",0,55.55,0,NA
"RMRP00712",2025,26,"SLEV",0,55.55,0,NA
"RMRP00712",2025,26,"WNV",0,55.55,0,NA
"RMRP00713",2025,27,"SLEV",0,55.55,0,NA
"RMRP00713",2025,27,"WNV",0,55.55,0,NA
"RMRP00714",2025,27,"SLEV",0,55.55,0,NA
"RMRP00714",2025,27,"WNV",0,55.55,0,NA
"RMRP00715",2025,27,"SLEV",0,55.55,0,NA
"RMRP00715",2025,27,"WNV",0,55.55,0,NA
"RMRP00716",2025,27,"SLEV",0,55.55,0,NA
"RMRP00716",2025,27,"WNV",0,55.55,0,NA
"RMRP00717",2025,27,"SLEV",0,55.55,0,NA
"RMRP00717",2025,27,"WNV",0,55.55,0,NA
"RMRP00718",2025,27,"SLEV",0,55.55,0,NA
"RMRP00718",2025,27,"WNV",0,55.55,0,NA
"RMRP00719",2025,27,"SLEV",0,55.55,0,NA
"RMRP00719",2025,27,"WNV",0,55.55,0,NA
"RMRP00720",2025,27,"SLEV",0,55.55,0,NA
"RMRP00720",2025,27,"WNV",0,32.87,27.63,NA
"RMRP00721",2025,27,"SLEV",0,55.55,0,NA
"RMRP00721",2025,27,"WNV",0,34.08,11.23,NA
"RMRP00722",2025,27,"SLEV",0,55.55,0,NA
"RMRP00722",2025,27,"WNV",0,30.74,135.74,NA
"RMRP00723",2025,27,"SLEV",0,55.55,0,NA
"RMRP00723",2025,27,"WNV",0,30.26,194.87,NA
"RMRP00724",2025,27,"SLEV",0,55.55,0,NA
"RMRP00724",2025,27,"WNV",0,29.23,420.21,NA
"RMRP00725",2025,27,"SLEV",0,55.55,0,NA
"RMRP00725",2025,27,"WNV",1,27.16,1968.72,NA
